Item,Qty,Cost (CAD),Source,Specifications,Link
DC Motor,1,$2.89,Aliexpress,"1000 RPM, 6 V",https://www.aliexpress.com/item/33022320164.html?algo_pvid=6215d64e-3696-4813-a4a0-e404a6499367&algo_exp_id=6215d64e-3696-4813-a4a0-e404a6499367-0&pdp_ext_f=%7B%22order%22%3A%2235038%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.56%212.45%21%21%211.83%211.75%21%402101e80f17784553983744830e0deb%2112000042802784311%21sea%21CA%210%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3Afa6b15bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000206226397&curPageLogUid=8VNyW09BssU8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33022320164%7C_p_origin_prod%3A
DC wall adapter,1,$5.41,Aliexpress,"1A, 6V",https://www.aliexpress.com/item/4000521124523.html?algo_pvid=8ec675cb-4fb0-487a-84e2-6988172f5d33&algo_exp_id=8ec675cb-4fb0-487a-84e2-6988172f5d33-1&pdp_ext_f=%7B%22order%22%3A%2232987%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.69%214.69%21%21%213.36%213.36%21%402101eede17784558975152603e7939%2110000002659372355%21sea%21CA%212965713149%21X%211%210%21n_tag%3A-29919%3Bd%3Afa6b15bf%3Bm03_new_user%3A-29895&curPageLogUid=Kld5tkvMAzpz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000521124523%7C_p_origin_prod%3A
Sandpaper 240 grit,10,$7.30,Aliexpress,,https://www.aliexpress.com/item/1005005467956102.html?algo_pvid=fd93dcd4-27d0-49db-bf6f-72c3326933b8&algo_exp_id=fd93dcd4-27d0-49db-bf6f-72c3326933b8-10&pdp_ext_f=%7B%22order%22%3A%221116%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%216.29%215.99%21%21%2130.60%2129.12%21%402101df0e17784562278173545ea01c%2112000033200195228%21sea%21CA%212965713149%21X%211%210%21n_tag%3A-29919%3Bd%3Afa6b15bf%3Bm03_new_user%3A-29895&curPageLogUid=IOPu32ys4hBE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005467956102%7C_p_origin_prod%3A
DPDT Slide Switch,10,$3.68,Aliexpress,,https://www.aliexpress.com/item/1005008536062744.html?algo_pvid=c7a7385b-fd21-4786-a59d-4a7c4c65b354&algo_exp_id=c7a7385b-fd21-4786-a59d-4a7c4c65b354-6&pdp_ext_f=%7B%22order%22%3A%22140%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.43%213.43%21%21%2116.71%2116.71%21%402101e2b617765555984352393eb817%2112000057252644239%21sea%21CA%212965713149%21X%211%210%21n_tag%3A-29919%3Bd%3Afa6b15bf%3Bm03_new_user%3A-29895&curPageLogUid=pzsyqNEbkUrO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008536062744%7C_p_origin_prod%3A
PWM Power Adjustor,1,$2,Aliexpress,2A 1.8-12V,https://www.aliexpress.com/item/1005006898731441.html?algo_pvid=f42858c3-0743-49b1-996a-8a0e48c2b1de&algo_exp_id=f42858c3-0743-49b1-996a-8a0e48c2b1de-4&pdp_ext_f=%7B%22order%22%3A%2217820%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%215.31%213.45%21%21%2125.85%2116.80%21%402101dedf17784563889011315e2c55%2112000038655131986%21sea%21CA%212965713149%21X%211%210%21n_tag%3A-29919%3Bd%3Afa6b15bf%3Bm03_new_user%3A-29895&curPageLogUid=TwINFDyh9ups&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006898731441%7C_p_origin_prod%3A
Hookup Wires,1,$3.95,Aliexpress,"22 AWG, 5 m",https://www.aliexpress.com/item/1005009575544132.html?algo_pvid=c53901c6-037c-436e-908e-6d48c3271276&algo_exp_id=c53901c6-037c-436e-908e-6d48c3271276-0&pdp_ext_f=%7B%22order%22%3A%22927%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.29%214.23%21%21%2121.10%2120.79%21%4021030a6217776437217395038eb80c%2112000051692118275%21sea%21CA%212965713149%21X%211%210%21n_tag%3A-29919%3Bd%3Afa6b15bf%3Bm03_new_user%3A-29895&curPageLogUid=fxurFc8fh1eG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009575544132%7C_p_origin_prod%3A
White Acrylic Primer,1,$14.83,Amazon,,"www.aliexpress.com/item/1005006592430892.html?algo_pvid=4b889e82-b390-4fe6-ba71-f2010f13c926&algo_exp_id=4b889e82-b390-4fe6-ba71-f2010f13c926-1&pdp_ext_f={""order""%3A""5289""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""}&pdp_npi=6%40dis!CAD!1.89!1.89!!!9.17!9.17!%402101eee917786429540717996e642e!12000037752358315!sea!CA!2965713149!X!1!0!n_tag%3A-29919%3Bd%3Afa6b15bf%3Bm03_new_user%3A-29895&curPageLogUid=jyiZxEi0YQWN&utparam-url=scene%3Asearch|query_from%3A|x_object_id%3A1005006592430892|_p_origin_prod%3A"
White Acrylic Paint,1,$5.07,Michaels,238 Iridescent White,https://www.michaels.com/product/liquitex-basics-4oz-acrylic-paint-10633502
Blue Acrylic Paint,1,$5.07,Michaels,680 Light Blue Violet,https://www.michaels.com/product/liquitex-basics-4oz-acrylic-paint-10633502
Clear Acrylic Varnish,1,$8.58,Aliexpress,60 ml,https://www.aliexpress.com/item/1005008715565883.html?algo_pvid=63dae878-a7cb-4717-bc7f-4dc0577beb25&algo_exp_id=63dae878-a7cb-4717-bc7f-4dc0577beb25-0&pdp_ext_f=%7B%22order%22%3A%224401%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008715565883%22%2C%22orig_item_id%22%3A%221005008376807054%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2116.15%217.59%21%21%2178.63%2136.95%21%402101e2b417784569704136575e78b0%2112000046363952492%21sea%21CA%212965713149%21X%211%210%21n_tag%3A-29919%3Bd%3Afa6b15bf%3Bm03_new_user%3A-29895&curPageLogUid=LMuMQunb1omq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008715565883%7C_p_origin_prod%3A1005008376807054
